Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Alternative Organism Name],Characteristics [GBIF Taxonomy],Characteristics [Open Tree Taxonomy],Characteristics [Specimen Description],Characteristics [Basis of Record],Characteristics [Voucher Specimen],Experimental Condition [Collector],Experimental Condition [Collection Date],Experimental Condition [Identified By],Characteristics [Geodetic Datum],Characteristics [Latitude],Characteristics [Longitude],Characteristics [Elevation],Characteristics [Coordinate Precision],Experimental Condition [Microscope],Experimental Condition [Microscope Instrument],Experimental Condition [Microscope Contrast Method],Experimental Condition [Microscope Magnification],Experimental Condition [Microscope Objective],Comment [Image File],Comment [Multi-Focus Image Fusion Stack],Comment [Image Stitching Stack],Comment [Image Description],Phenotype,Phenotype Term Name,Phenotype Term Accession
Lunularia cruciata,IMG_0005 Lunularia cruciata voucher specimen.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,voucher specimen,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0005 Lunularia cruciata voucher specimen,IMG_0005 Lunularia cruciata Herbarbeleg (3),NCBI specimen voucher,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0006 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0006 Lunularia cruciata stature,IMG_0006 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0007 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0007 Lunularia cruciata stature,IMG_0007 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0008 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0008 Lunularia cruciata stature,IMG_0008 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0012 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0012 Lunularia cruciata stature,IMG_0012 Lunularia cruciata Habitus (2),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0014-0023 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0014-0023 Lunularia cruciata stature,IMG_0014-0023 Lunularia cruciata Habitus (4-2),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0054-0073 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0054-0073 Lunularia cruciata stature,IMG_0054-0073 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0094-0133 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0094-0133 Lunularia cruciata stature,IMG_0094-0133 Lunularia cruciata Habitus (4-2),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0134-0173 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0134-0173 Lunularia cruciata stature,IMG_0134-0173 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0176 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0176 Lunularia cruciata stature,IMG_0176 Lunularia cruciata Habitus (4-2),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0178 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0178 Lunularia cruciata stature,IMG_0178 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0179-0218 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0179-0218 Lunularia cruciata stature,IMG_0179-0218 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0219-0258 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0219-0258 Lunularia cruciata stature,IMG_0219-0258 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0260 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0260 Lunularia cruciata stature,IMG_0260 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0299-0338 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0299-0338 Lunularia cruciata stature,IMG_0299-0338 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0339-0378 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0339-0378 Lunularia cruciata stature,IMG_0339-0378 Lunularia cruciata Habitus (4-2),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0379-0418 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0379-0418 Lunularia cruciata stature,IMG_0379-0418 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0420 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0420 Lunularia cruciata stature,IMG_0420 Lunularia cruciata Habitus (4-2),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0421-0433 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0421-0433 Lunularia cruciata stature,IMG_0421-0433 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0435 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0435 Lunularia cruciata stature,IMG_0435 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0436-0450 Lunularia cruciata stature.ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,,,Raw,IMG_0436-0450 Lunularia cruciata stature,IMG_0436-0450 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0456-0505 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0456-0505 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0506-0555 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0506-0555 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0556-0605 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0556-0605 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0606-0655 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0606-0655 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0656-0705 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0656-0705 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0706-0755 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0706-0755 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0756-0805 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0756-0805 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0806-0855 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0806-0855 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0856-0905 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0856-0905 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0906-0955 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0906-0955 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_0956-1005 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_0956-1005 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1006-1055 Lunularia cruciata stature (Laowa 2.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,stature,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 2.5x,,Raw,IMG_1006-1055 Lunularia cruciata stature (Laowa 2.5x),IMG_0456-1055 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1056-1105 Lunularia cruciata gemmae cup (Laowa 5.0x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,gemmae cup,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 5.0x,,Raw,IMG_1056-1105 Lunularia cruciata gemmae cup (Laowa 5.0x),IMG_1056-1105 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1106-1165 Lunularia cruciata gemmae cup (Laowa 5.0x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,gemmae cup,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 5.0x,,Raw,IMG_1106-1165 Lunularia cruciata gemmae cup (Laowa 5.0x),IMG_1106-1165 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1166-1225 Lunularia cruciata female plant thallus apex with female receptacle (Laowa 5.0x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant thallus apex with female receptacle,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 5.0x,,Raw,IMG_1166-1225 Lunularia cruciata female plant thallus apex with female receptacle (Laowa 5.0x),IMG_1166-1225 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1226-1270 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1226-1270 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1226-1360 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1271-1315 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1271-1315 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1226-1360 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1316-1360 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1316-1360 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1226-1360 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1361-1405 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1361-1405 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1406-1450 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1406-1450 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1451-1495 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1451-1495 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1496-1540 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1496-1540 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1541-1585 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1541-1585 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1586-1630 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1586-1630 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1631-1675 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1631-1675 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1361-1675 Lunularia cruciata Habitus (3),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1676-1720 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1676-1720 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1676-1855 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1721-1765 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1721-1765 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1676-1855 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1766-1810 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1766-1810 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1676-1855 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1811-1855 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1811-1855 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1676-1855 Lunularia cruciata Habitus (8-4),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1856-1900 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1856-1900 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1856-2170 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1901-1945 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1901-1945 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1856-2170 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1946-1990 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1946-1990 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1856-2170 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_1991-2035 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_1991-2035 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1856-2170 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
Lunularia cruciata,IMG_2036-2080 Lunularia cruciata female plant stature ventral side (Laowa 3.5x).ome.tiff,Lunularia cruciata,NCBI Taxon,NCBI_56931,Lunularia cruciata (L.) Dumort. ex Lindb.,GBIF:5286308,GBIF:5286308,female plant stature ventral side,Preserved Specimen,Peters-2021-42,,,,,,,,,,,,Laowa 3.5x,,Raw,IMG_2036-2080 Lunularia cruciata female plant stature ventral side (Laowa 3.5x),IMG_1856-2170 Lunularia cruciata Habitus (A),,round cell,round cell phenotype,CMPO_0000118
